shipment_id,origin_city,destination_city,mode,carrier,departure_timestamp,arrival_timestamp,priority,temp_controlled,damage_flag,weight_kg,cube_m3,delay_hours,on_time,freight_cost,surcharge,total_cost,notes
SHP0007964,Newark,Nashville,Air,BlueLine,2024-02-02 16:00:00,2024-02-03 01:00:00,Expedited,No,No,831.9,2.19,0.0,Yes,1351.68,105.79,1457.47,damaged weather reroute inspection dock damaged weather inspection weather
SHP0006874,Atlanta,Nashville,Ground,BlueLine,2024-05-02 15:00:00,2024-05-06 04:00:00,Expedited,No,No,616.8,3.98,0.0,Yes,535.71,106.24,641.95,inspection temperature temperature damaged weather weather temperature priority reroute reroute customs weather
SHP0007602,Los Angeles,Phoenix,Air,SwiftRoute,2024-08-07 14:00:00,2024-08-14 01:00:00,Expedited,No,No,1031.3,2.34,0.0,Yes,1486.0,109.64,1595.64,weather reroute priority priority reroute customs inspection customs dock
SHP0027889,Dallas,Portland,Rail,Mercury,2024-08-08 21:00:00,2024-08-09 23:06:00,Standard,Yes,No,1255.1,8.41,13.1,No,2337.41,50.14,2387.55,temperature damaged priority temperature dock
SHP0031189,Chicago,Phoenix,Ocean,SwiftRoute,2024-12-13 04:00:00,2024-12-18 22:06:00,Standard,No,No,1341.3,4.98,1.1,Yes,1508.27,113.06,1621.33,temperature priority customs priority damaged customs temperature inspection
SHP0032158,Atlanta,Phoenix,Ocean,Mercury,2024-04-25 15:00:00,2024-04-27 05:00:00,Critical,No,No,726.3,2.96,0.0,Yes,1250.54,290.61,1541.15,priority dock weather dock inspection reroute reroute inspection damaged
SHP0018602,Atlanta,Portland,Ocean,NorthStar,2024-08-27 09:00:00,2024-09-02 02:54:00,Critical,Yes,No,884.1,0.73,0.9,Yes,983.57,392.53,1376.1,customs inspection priority damaged reroute customs weather priority
SHP0016074,Seattle,Boston,Ground,BlueLine,2024-04-14 22:00:00,2024-04-16 18:18:00,Standard,Yes,No,946.7,11.06,3.3,No,733.31,9.34,742.65,weather weather priority damaged temperature weather reroute reroute handoff
SHP0006591,Los Angeles,Denver,Rail,SwiftRoute,2024-01-18 23:00:00,2024-01-24 07:48:00,Standard,No,No,2444.3,2.1,6.8,No,2453.57,41.19,2494.76,dock handoff temperature damaged priority damaged
SHP0006378,Los Angeles,Nashville,Rail,SwiftRoute,2024-06-12 04:00:00,2024-06-15 09:00:00,Expedited,No,No,737.3,3.62,0.0,Yes,508.64,54.07,562.71,inspection handoff weather weather priority dock temperature priority
SHP0033746,Chicago,Miami,Ground,Mercury,2024-11-15 12:00:00,2024-11-21 13:48:00,Expedited,No,No,360.3,2.56,15.8,No,657.53,94.3,751.83,customs weather priority weather temperature temperature reroute handoff damaged inspection
SHP0006859,Seattle,Denver,Ocean,NorthStar,2024-03-15 08:00:00,2024-03-22 00:00:00,Standard,No,No,524.5,2.68,0.0,Yes,554.18,4.32,558.5,temperature reroute temperature temperature weather dock weather handoff damaged handoff priority damaged
SHP0006572,Seattle,Phoenix,Rail,Mercury,2024-02-23 07:00:00,2024-02-25 16:36:00,Expedited,No,No,793.6,4.34,5.6,No,827.05,117.57,944.62,temperature reroute damaged dock customs customs customs weather
SHP0022306,Atlanta,Miami,Air,SwiftRoute,2024-02-27 00:00:00,2024-03-02 11:42:00,Critical,Yes,No,964.5,3.37,7.7,No,1051.9,441.16,1493.06,handoff customs customs customs inspection temperature damaged temperature damaged weather
SHP0017507,Chicago,Denver,Air,BlueLine,2024-05-18 06:00:00,2024-05-24 08:54:00,Standard,No,No,447.4,5.91,9.9,No,793.56,109.5,903.06,dock damaged weather inspection temperature
SHP0006924,Newark,Nashville,Ocean,SwiftRoute,2024-03-24 08:00:00,2024-03-25 21:00:00,Expedited,No,No,686.7,2.69,0.0,Yes,1091.19,38.28,1129.47,priority reroute reroute reroute customs dock weather temperature priority priority handoff
SHP0007093,Seattle,Denver,Rail,BlueLine,2024-09-04 00:00:00,2024-09-05 05:54:00,Standard,No,No,1007.7,1.74,6.9,No,1593.46,60.44,1653.9,temperature dock inspection inspection priority
SHP0006348,Dallas,Miami,Ground,Atlas,2024-06-07 23:00:00,2024-06-13 14:18:00,Standard,No,No,2417.9,4.57,7.3,No,1953.21,0.86,1954.07,priority dock priority temperature customs inspection priority reroute dock dock
SHP0038437,Los Angeles,Nashville,Air,NorthStar,2024-08-14 06:00:00,2024-08-17 09:18:00,Standard,No,No,446.0,3.39,25.3,No,758.66,123.65,882.31,weather customs dock weather customs dock reroute dock temperature inspection temperature temperature
SHP0006308,Atlanta,Portland,Ground,SwiftRoute,2024-12-05 16:00:00,2024-12-09 17:00:00,Standard,Yes,No,305.7,4.5,0.0,Yes,482.99,105.3,588.29,handoff priority weather dock handoff weather reroute dock weather dock damaged
SHP0032818,Seattle,Phoenix,Ground,SwiftRoute,2024-12-14 14:00:00,2024-12-20 05:00:00,Standard,Yes,No,212.8,1.68,0.0,Yes,301.25,98.05,399.3,damaged dock damaged dock handoff dock
SHP0007803,Newark,Denver,Ocean,Mercury,2024-03-14 18:00:00,2024-03-20 15:06:00,Standard,No,No,823.7,7.17,27.1,No,1253.32,48.9,1302.22,reroute customs dock priority temperature damaged inspection reroute reroute
SHP0020993,Chicago,Boston,Ground,SwiftRoute,2024-12-26 13:00:00,2025-01-01 22:06:00,Expedited,No,No,1024.4,7.03,16.1,No,876.79,22.81,899.6,damaged weather handoff damaged inspection damaged handoff handoff reroute priority inspection weather
SHP0037434,Dallas,Denver,Ground,Mercury,2024-03-10 08:00:00,2024-03-11 05:00:00,Standard,No,No,464.5,2.14,0.0,Yes,594.39,32.98,627.37,customs temperature handoff handoff customs reroute priority dock weather temperature reroute damaged
SHP0034112,Los Angeles,Nashville,Ground,SwiftRoute,2024-03-22 09:00:00,2024-03-25 16:54:00,Expedited,Yes,No,1172.8,3.27,5.9,No,1338.34,41.69,1380.03,inspection priority temperature reroute handoff inspection
SHP0015923,Seattle,Boston,Ocean,SwiftRoute,2024-04-05 05:00:00,2024-04-06 07:18:00,Standard,No,No,676.3,6.5,4.3,No,675.27,20.89,696.16,handoff temperature weather priority temperature weather temperature inspection
SHP0035270,Newark,Miami,Ground,NorthStar,2024-10-11 12:00:00,2024-10-18 11:48:00,Standard,No,No,353.3,3.67,6.8,No,435.72,71.34,507.06,reroute reroute inspection customs dock
SHP0012994,Dallas,Portland,Ground,BlueLine,2024-06-03 10:00:00,2024-06-09 06:00:00,Standard,No,No,925.3,2.67,0.0,Yes,886.33,60.91,947.24,dock temperature temperature inspection handoff handoff priority dock damaged
SHP0007749,Los Angeles,Miami,Rail,NorthStar,2024-08-01 00:00:00,2024-08-05 10:00:00,Standard,Yes,No,747.5,4.53,0.0,Yes,1013.81,23.24,1037.05,temperature priority inspection inspection temperature customs reroute temperature
SHP0036375,Dallas,Portland,Ground,BlueLine,2024-12-24 08:00:00,2024-12-31 22:54:00,Expedited,Yes,No,232.1,5.37,5.9,No,447.44,44.6,492.04,handoff damaged handoff reroute damaged priority temperature weather damaged reroute reroute
SHP0015865,Seattle,Phoenix,Ground,SwiftRoute,2024-07-09 08:00:00,2024-07-16 10:36:00,Expedited,No,No,1878.4,1.72,11.6,No,1802.93,87.24,1890.17,handoff weather customs weather weather inspection priority
SHP0036097,Newark,Nashville,Air,Atlas,2024-03-10 19:00:00,2024-03-17 18:18:00,Standard,No,No,941.8,3.63,7.3,No,1086.49,81.39,1167.88,weather weather inspection dock reroute dock priority customs handoff
SHP0007590,Chicago,Miami,Rail,Mercury,2024-10-29 20:00:00,2024-11-03 21:18:00,Standard,No,No,724.5,2.82,13.3,No,482.11,12.52,494.63,temperature damaged inspection reroute priority
SHP0010259,Chicago,Miami,Ocean,SwiftRoute,2024-10-12 16:00:00,2024-10-17 18:18:00,Standard,No,No,1754.9,3.99,15.3,No,2352.42,119.94,2472.36,handoff temperature damaged temperature weather dock temperature temperature
SHP0021719,Dallas,Portland,Ocean,Atlas,2024-11-07 16:00:00,2024-11-12 03:00:00,Standard,No,No,827.6,3.09,0.0,Yes,940.96,44.67,985.63,weather reroute dock dock weather reroute temperature dock inspection
SHP0013111,Newark,Phoenix,Rail,NorthStar,2024-01-28 16:00:00,2024-02-02 13:00:00,Standard,Yes,No,1086.6,3.14,0.0,Yes,1949.31,14.1,1963.41,reroute inspection temperature priority handoff weather customs priority temperature customs reroute dock
SHP0006192,Newark,Boston,Ground,SwiftRoute,2024-06-03 10:00:00,2024-06-06 19:00:00,Standard,No,No,880.0,5.77,0.0,Yes,1438.47,40.69,1479.16,weather dock damaged customs customs weather weather inspection damaged customs dock
SHP0022922,Los Angeles,Miami,Ground,Mercury,2024-08-24 08:00:00,2024-08-25 09:00:00,Standard,No,No,732.8,3.31,0.0,Yes,1189.67,62.85,1252.52,handoff handoff temperature damaged temperature priority priority reroute
SHP0024676,Newark,Portland,Ground,BlueLine,2024-10-13 06:00:00,2024-10-19 12:48:00,Standard,No,No,1156.4,3.97,13.8,No,1071.69,78.67,1150.36,dock priority dock priority reroute
SHP0007796,Dallas,Boston,Ground,BlueLine,2024-07-22 02:00:00,2024-07-26 02:42:00,Standard,Yes,No,838.1,7.11,9.7,No,721.36,69.75,791.11,damaged weather weather temperature dock reroute damaged priority dock customs weather priority
SHP0013894,Dallas,Denver,Ground,NorthStar,2024-04-02 19:00:00,2024-04-09 05:24:00,Standard,No,No,792.4,6.35,12.4,No,484.2,28.8,513.0,priority inspection customs damaged temperature
SHP0011977,Los Angeles,Boston,Air,SwiftRoute,2024-06-18 12:00:00,2024-06-25 19:54:00,Standard,No,No,544.5,3.46,15.9,No,868.13,5.37,873.5,damaged reroute customs dock weather dock weather damaged reroute reroute
SHP0022635,Dallas,Nashville,Ground,NorthStar,2024-02-15 16:00:00,2024-02-22 10:00:00,Standard,Yes,No,1579.3,4.25,0.0,Yes,1636.59,20.58,1657.17,temperature priority weather temperature handoff temperature dock
SHP0015749,Chicago,Portland,Ground,Atlas,2024-07-02 12:00:00,2024-07-09 07:12:00,Expedited,Yes,No,1333.5,4.04,4.2,No,667.44,66.37,733.81,temperature inspection customs damaged damaged dock handoff dock damaged inspection handoff weather
SHP0016787,Atlanta,Phoenix,Rail,Mercury,2024-09-07 07:00:00,2024-09-09 07:48:00,Standard,No,No,992.8,4.59,5.8,No,845.05,88.01,933.06,reroute inspection dock customs reroute handoff reroute damaged handoff customs
SHP0007293,Chicago,Denver,Rail,Atlas,2024-03-24 07:00:00,2024-03-28 00:24:00,Standard,No,No,1249.7,3.3,7.4,No,1491.44,98.46,1589.9,handoff reroute priority inspection reroute inspection
SHP0007269,Los Angeles,Phoenix,Ocean,Mercury,2024-09-03 19:00:00,2024-09-07 19:18:00,Standard,No,No,1839.9,3.54,7.3,No,1258.65,84.62,1343.27,temperature weather reroute handoff reroute priority reroute weather handoff customs
SHP0031049,Newark,Miami,Air,SwiftRoute,2024-09-27 23:00:00,2024-09-29 21:00:00,Standard,No,Yes,1278.3,3.47,0.0,Yes,1062.97,105.66,1168.63,weather priority handoff temperature temperature priority reroute handoff
SHP0017065,Newark,Nashville,Ocean,Atlas,2024-07-23 11:00:00,2024-07-26 07:42:00,Expedited,No,No,2282.8,6.35,6.7,No,2744.35,15.91,2760.26,damaged dock dock customs dock reroute reroute temperature dock weather reroute
SHP0015379,Atlanta,Denver,Ground,Atlas,2024-03-28 21:00:00,2024-04-01 07:00:00,Critical,No,No,1001.4,3.49,0.0,Yes,650.37,109.38,759.75,weather reroute dock customs damaged dock reroute dock reroute
SHP0018046,Los Angeles,Portland,Ground,BlueLine,2024-02-22 19:00:00,2024-02-26 01:54:00,Standard,No,No,898.6,6.97,12.9,No,1393.89,47.65,1441.54,weather weather temperature priority dock handoff
SHP0016431,Newark,Portland,Ground,BlueLine,2024-12-30 04:00:00,2025-01-06 22:36:00,Expedited,No,No,564.0,4.7,7.6,No,908.66,22.33,930.99,customs priority damaged temperature weather customs weather
SHP0035549,Chicago,Portland,Rail,Atlas,2024-10-10 00:00:00,2024-10-16 09:36:00,Standard,No,No,428.2,3.91,20.6,No,224.94,108.2,333.14,handoff weather customs handoff priority customs
SHP0031099,Atlanta,Phoenix,Rail,NorthStar,2024-03-09 15:00:00,2024-03-17 09:54:00,Expedited,No,No,1105.4,4.0,26.9,No,1209.79,71.56,1281.35,handoff dock customs reroute handoff temperature
SHP0020927,Los Angeles,Phoenix,Ocean,Atlas,2024-07-07 05:00:00,2024-07-08 23:48:00,Standard,No,No,792.4,1.65,3.8,No,404.63,47.11,451.74,reroute weather inspection temperature customs reroute inspection
SHP0015574,Newark,Boston,Ground,Mercury,2024-02-28 02:00:00,2024-02-28 19:48:00,Expedited,No,No,1380.8,6.05,6.8,No,1489.22,18.7,1507.92,inspection customs weather damaged customs handoff inspection temperature inspection
SHP0038037,Dallas,Nashville,Rail,Atlas,2024-05-08 17:00:00,2024-05-13 02:00:00,Standard,No,No,2854.1,3.77,0.0,Yes,3320.75,34.09,3354.84,inspection priority priority priority priority customs reroute inspection weather
SHP0006690,Newark,Miami,Ground,Atlas,2024-11-08 12:00:00,2024-11-10 17:42:00,Expedited,Yes,No,1626.5,1.61,13.7,No,1557.79,95.51,1653.3,weather reroute temperature inspection handoff dock inspection
SHP0007427,Newark,Phoenix,Ocean,Atlas,2024-04-11 20:00:00,2024-04-12 14:12:00,Expedited,No,No,466.1,7.08,2.2,No,352.72,73.48,426.2,inspection inspection temperature damaged handoff priority dock damaged priority inspection inspection reroute
SHP0028077,Dallas,Miami,Ground,BlueLine,2024-07-05 16:00:00,2024-07-10 09:48:00,Standard,No,No,830.3,4.87,14.8,No,810.31,4.66,814.97,inspection dock damaged damaged damaged reroute dock reroute inspection temperature
SHP0026748,Chicago,Boston,Air,NorthStar,2024-09-09 21:00:00,2024-09-12 02:00:00,Standard,No,No,884.3,5.95,8.0,No,1563.11,39.97,1603.08,customs weather handoff handoff damaged customs
SHP0024922,Dallas,Nashville,Rail,SwiftRoute,2024-09-08 21:00:00,2024-09-13 01:00:00,Standard,No,No,336.9,3.38,0.0,Yes,613.72,73.37,687.09,handoff damaged inspection reroute inspection damaged reroute inspection
SHP0016987,Atlanta,Nashville,Rail,BlueLine,2024-02-10 01:00:00,2024-02-10 22:18:00,Expedited,No,No,924.2,2.18,2.3,No,1311.41,20.77,1332.18,handoff priority customs weather damaged
SHP0032143,Dallas,Denver,Air,Mercury,2024-10-30 03:00:00,2024-11-05 09:00:00,Standard,No,No,307.1,14.13,0.0,Yes,657.19,93.65,750.84,priority dock weather weather reroute reroute weather dock weather temperature
SHP0008143,Newark,Phoenix,Air,Mercury,2024-10-11 13:00:00,2024-10-14 10:36:00,Expedited,No,No,1299.5,8.93,30.6,No,2166.38,36.28,2202.66,customs dock handoff handoff handoff inspection handoff priority
SHP0026032,Chicago,Boston,Air,SwiftRoute,2024-09-29 15:00:00,2024-10-07 05:36:00,Expedited,Yes,No,968.8,3.59,15.6,No,1432.7,1.65,1434.35,priority dock priority weather priority damaged customs damaged reroute
SHP0038992,Seattle,Miami,Ground,BlueLine,2024-05-10 22:00:00,2024-05-13 03:00:00,Expedited,No,No,976.7,1.9,0.0,Yes,1731.4,82.83,1814.23,damaged damaged handoff priority temperature inspection damaged dock weather priority weather customs
SHP0020535,Newark,Miami,Air,Mercury,2024-10-03 22:00:00,2024-10-05 20:42:00,Critical,No,Yes,633.9,5.69,22.7,No,944.33,270.21,1214.54,temperature dock priority weather handoff customs
SHP0015911,Los Angeles,Miami,Rail,Mercury,2024-04-16 20:00:00,2024-04-23 11:00:00,Standard,No,No,1343.1,7.66,0.0,Yes,1974.87,81.62,2056.49,customs reroute inspection customs reroute reroute inspection
SHP0010800,Atlanta,Nashville,Ocean,Mercury,2024-05-29 04:00:00,2024-05-31 17:00:00,Critical,No,No,831.1,3.51,0.0,Yes,660.66,292.1,952.76,temperature reroute priority damaged dock temperature customs
SHP0007630,Newark,Boston,Ocean,SwiftRoute,2024-11-03 06:00:00,2024-11-09 04:48:00,Standard,No,No,574.7,1.18,8.8,No,720.6,53.28,773.88,customs temperature reroute dock temperature damaged weather
SHP0027255,Los Angeles,Phoenix,Ground,BlueLine,2024-08-26 07:00:00,2024-08-27 09:12:00,Standard,No,No,2118.4,3.34,17.2,No,3610.84,74.19,3685.03,temperature handoff dock temperature handoff inspection damaged priority inspection inspection handoff
SHP0039988,Dallas,Miami,Air,SwiftRoute,2024-10-18 10:00:00,2024-10-25 21:00:00,Standard,No,No,818.0,5.46,0.0,Yes,478.94,95.06,574.0,customs damaged temperature temperature weather damaged dock reroute
SHP0031053,Chicago,Miami,Rail,Mercury,2024-03-16 14:00:00,2024-03-23 14:06:00,Standard,No,No,649.1,0.54,18.1,No,773.46,105.32,878.78,damaged dock priority customs damaged handoff handoff customs inspection damaged
SHP0022676,Seattle,Denver,Ground,SwiftRoute,2024-01-02 09:00:00,2024-01-06 12:00:00,Standard,No,No,688.3,4.74,0.0,Yes,954.4,114.21,1068.61,dock customs reroute weather damaged handoff weather
SHP0020313,Seattle,Denver,Ground,NorthStar,2024-06-08 21:00:00,2024-06-12 17:00:00,Standard,No,No,734.3,3.12,0.0,Yes,713.59,68.87,782.46,temperature handoff temperature reroute dock weather temperature dock customs dock customs
SHP0007692,Atlanta,Miami,Air,SwiftRoute,2024-03-30 21:00:00,2024-04-07 08:00:00,Standard,No,No,1057.2,4.54,0.0,Yes,1209.78,97.59,1307.37,handoff temperature damaged reroute reroute
SHP0023136,Atlanta,Portland,Ocean,SwiftRoute,2024-02-24 12:00:00,2024-03-02 08:00:00,Critical,No,No,477.1,4.36,0.0,Yes,513.56,439.98,953.54,inspection priority customs handoff customs priority weather
SHP0007617,Atlanta,Boston,Rail,Atlas,2024-06-09 20:00:00,2024-06-12 10:18:00,Standard,No,No,1303.3,3.59,12.3,No,1460.34,43.02,1503.36,temperature damaged priority temperature dock dock weather weather temperature
SHP0014782,Atlanta,Boston,Air,Mercury,2024-09-07 08:00:00,2024-09-10 20:00:00,Standard,No,No,424.5,2.34,0.0,Yes,719.98,8.31,728.29,handoff priority handoff reroute reroute reroute priority inspection dock handoff reroute
SHP0021633,Chicago,Boston,Ground,BlueLine,2024-07-07 07:00:00,2024-07-13 12:00:00,Expedited,No,No,1109.3,6.7,0.0,Yes,2009.87,14.52,2024.39,handoff damaged damaged temperature reroute
SHP0026355,Dallas,Portland,Rail,Atlas,2024-05-09 09:00:00,2024-05-17 07:54:00,Expedited,No,No,439.3,8.73,21.9,No,652.28,66.7,718.98,damaged temperature handoff reroute weather priority temperature customs inspection
SHP0022816,Newark,Denver,Rail,Mercury,2024-12-15 22:00:00,2024-12-18 10:30:00,Standard,No,No,1323.3,2.8,6.5,No,829.05,115.34,944.39,priority priority weather temperature customs inspection inspection handoff handoff
SHP0032262,Seattle,Denver,Ground,Mercury,2024-08-28 01:00:00,2024-08-31 11:06:00,Standard,No,No,150.9,9.41,33.1,No,380.41,99.55,479.96,temperature inspection weather damaged handoff reroute
SHP0023412,Atlanta,Miami,Ground,SwiftRoute,2024-09-27 18:00:00,2024-09-30 09:24:00,Standard,No,No,455.0,3.92,3.4,No,721.42,10.52,731.94,customs inspection dock dock handoff
SHP0018678,Dallas,Miami,Rail,SwiftRoute,2024-06-12 01:00:00,2024-06-14 15:12:00,Standard,No,No,570.5,7.17,16.2,No,1124.84,51.78,1176.62,temperature damaged reroute priority inspection handoff temperature reroute customs inspection priority inspection
SHP0031113,Seattle,Boston,Ground,NorthStar,2024-07-06 19:00:00,2024-07-10 06:12:00,Critical,Yes,No,630.2,6.4,20.2,No,569.8,232.98,802.78,handoff priority dock inspection weather
SHP0022696,Los Angeles,Phoenix,Rail,SwiftRoute,2024-11-10 23:00:00,2024-11-16 12:18:00,Standard,No,No,404.5,2.69,15.3,No,625.44,116.53,741.97,priority priority inspection weather priority
SHP0031714,Dallas,Phoenix,Rail,BlueLine,2024-04-26 02:00:00,2024-04-30 17:00:00,Standard,No,No,972.0,3.08,0.0,Yes,1308.2,78.32,1386.52,inspection handoff weather temperature dock handoff customs priority handoff
SHP0026660,Chicago,Portland,Rail,Mercury,2024-05-06 08:00:00,2024-05-09 21:00:00,Standard,No,No,1168.1,1.07,24.0,No,611.72,65.42,677.14,dock inspection damaged dock customs temperature customs reroute priority customs customs
SHP0035533,Seattle,Portland,Ocean,Mercury,2024-03-20 01:00:00,2024-03-20 17:00:00,Standard,No,Yes,385.1,6.07,0.0,Yes,668.29,20.41,688.7,customs priority priority reroute temperature reroute customs inspection
SHP0033150,Chicago,Miami,Ground,BlueLine,2024-12-24 17:00:00,2024-12-27 11:00:00,Expedited,No,No,807.0,7.25,0.0,Yes,562.7,42.26,604.96,dock dock inspection handoff reroute handoff dock dock handoff
SHP0038396,Dallas,Boston,Ocean,SwiftRoute,2024-11-28 00:00:00,2024-12-05 02:12:00,Expedited,No,No,433.9,6.97,7.2,No,608.17,19.13,627.3,priority dock priority reroute dock handoff customs
SHP0006419,Los Angeles,Portland,Ground,NorthStar,2024-12-26 00:00:00,2024-12-28 13:36:00,Standard,No,No,379.6,5.21,25.6,No,381.13,73.57,454.7,weather priority handoff handoff temperature
SHP0027008,Dallas,Nashville,Ground,BlueLine,2024-04-02 15:00:00,2024-04-05 18:12:00,Standard,No,No,353.8,3.68,8.2,No,381.52,94.33,475.85,priority customs weather dock priority priority priority dock handoff customs handoff
SHP0028142,Seattle,Miami,Ground,SwiftRoute,2024-12-07 02:00:00,2024-12-10 06:06:00,Standard,No,No,1165.0,5.18,21.1,No,1709.82,25.31,1735.13,reroute inspection dock weather customs priority customs weather damaged customs reroute customs
SHP0019125,Dallas,Boston,Ground,NorthStar,2024-02-04 16:00:00,2024-02-07 21:12:00,Standard,No,No,642.7,5.63,14.2,No,730.97,92.73,823.7,weather weather priority handoff damaged handoff
SHP0016589,Dallas,Phoenix,Air,BlueLine,2024-08-31 18:00:00,2024-09-05 02:00:00,Expedited,No,No,1219.3,8.42,0.0,Yes,1253.35,113.79,1367.14,inspection dock weather damaged weather dock reroute reroute customs weather damaged inspection
SHP0017111,Atlanta,Denver,Rail,Atlas,2024-12-14 07:00:00,2024-12-18 05:00:00,Expedited,No,No,1347.2,3.69,0.0,Yes,660.23,97.1,757.33,customs reroute reroute temperature weather dock temperature weather temperature damaged priority priority
SHP0018981,Los Angeles,Phoenix,Rail,Atlas,2024-01-24 21:00:00,2024-01-27 08:42:00,Standard,No,No,509.4,9.12,1.7,Yes,709.4,21.83,731.23,damaged reroute priority dock weather temperature dock dock customs inspection handoff handoff
SHP0011271,Los Angeles,Miami,Ground,SwiftRoute,2024-12-13 10:00:00,2024-12-17 19:18:00,Standard,No,No,704.9,2.23,20.3,No,745.02,11.46,756.48,handoff damaged weather reroute inspection priority customs weather priority
SHP0006274,Los Angeles,Denver,Ocean,SwiftRoute,2024-08-31 01:00:00,2024-09-06 15:00:00,Expedited,No,No,389.8,5.14,0.0,Yes,520.23,97.2,617.43,damaged dock priority damaged handoff dock customs dock inspection reroute
