TRANSACTION_ID,STORE_ID,STORE_NAME,REGION,PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNITS_SOLD,UNIT_PRICE,REVENUE,SALE_DATE,SALES_REP_ID
SPG-00121,S-011,Lakeside Sports,Midwest,P-SPG-00-02,Hiker Pro,Footwear,9,145.59,1310.31,2024-06-06,REP-S-011-01
SPG-00122,S-020,Mountain Peak Gear,West,P-SPG-02-00,Carbon Bike,Equipment,9,531.26,4781.34,2024-09-14,REP-S-020-04
SPG-00123,S-002,Trailhead NE,Northeast,P-SPG-02-02,Treadmill T500,Equipment,2,778.36,1556.72,2024-03-04,REP-S-002-01
SPG-00124,S-016,Pacific Surf & Sport,West,P-SPG-04-03,Recovery Bar,Nutrition,16,18.69,299.04,2024-12-24,REP-S-016-01
SPG-00125,S-002,Trailhead NE,Northeast,P-SPG-02-00,Carbon Bike,Equipment,20,720.7,14414.0,2024-09-12,REP-S-002-02
SPG-00126,S-006,Bayou Fitness,Southeast,P-SPG-01-00,Compression Tee,Apparel,11,153.45,1687.95,2024-11-28,REP-S-006-01
SPG-00127,S-002,Trailhead NE,Northeast,P-SPG-03-00,Water Bottle,Accessories,11,12.31,135.41,2024-08-21,REP-S-002-03
SPG-00128,S-007,Gulf Coast Gear,Southeast,P-SPG-04-00,Whey Protein,Nutrition,9,51.86,466.74,2024-07-30,REP-S-007-03
SPG-00129,S-006,Bayou Fitness,Southeast,P-SPG-04-02,Electrolyte Mix,Nutrition,13,10.71,139.23,2024-07-29,REP-S-006-04
SPG-00130,S-014,River Trail Gear,Midwest,P-SPG-00-00,Trail Runner X,Footwear,7,213.26,1492.82,2024-06-29,REP-S-014-02
SPG-00131,S-009,Magnolia Active,Southeast,P-SPG-00-01,Court Ace,Footwear,12,49.35,592.2,2024-06-29,REP-S-009-02
SPG-00132,S-017,Redwood Athletics,West,P-SPG-03-02,Yoga Mat,Accessories,1,28.34,28.34,2024-10-04,REP-S-017-03
SPG-00133,S-004,Harbor Run,Northeast,P-SPG-02-03,Weight Set Pro,Equipment,19,677.08,12864.52,2024-08-06,REP-S-004-01
SPG-00134,S-019,Coastal Outfitters,West,P-SPG-03-01,Fitness Band,Accessories,10,73.85,738.5,2024-09-24,REP-S-019-01
SPG-00135,S-006,Bayou Fitness,Southeast,P-SPG-02-04,Climbing Pack,Equipment,1,625.04,625.04,2024-06-20,REP-S-006-01
SPG-00136,S-007,Gulf Coast Gear,Southeast,P-SPG-02-03,Weight Set Pro,Equipment,2,707.9,1415.8,2024-02-28,REP-S-007-02
SPG-00137,S-010,Delta Outfitters,Southeast,P-SPG-01-01,Rain Shell,Apparel,8,28.53,228.24,2024-03-31,REP-S-010-03
SPG-00138,S-006,Bayou Fitness,Southeast,P-SPG-02-01,Kayak Explorer,Equipment,15,286.66,4299.9,2024-08-22,REP-S-006-02
SPG-00139,S-007,Gulf Coast Gear,Southeast,P-SPG-02-01,Kayak Explorer,Equipment,4,784.46,3137.84,2024-08-07,REP-S-007-03
SPG-00140,S-015,Crossroads Sports,Midwest,P-SPG-02-00,Carbon Bike,Equipment,16,316.36,5061.76,2024-07-10,REP-S-015-03
SPG-00141,S-012,Prairie Athletics,Midwest,P-SPG-04-03,Recovery Bar,Nutrition,6,11.84,71.04,2024-03-31,REP-S-012-04
SPG-00142,S-005,Evergreen Athletics,Northeast,P-SPG-04-04,BCAAs,Nutrition,7,59.69,417.83,2024-10-10,REP-S-005-04
SPG-00143,S-012,Prairie Athletics,Midwest,P-SPG-02-01,Kayak Explorer,Equipment,11,574.74,6322.14,2024-10-31,REP-S-012-03
SPG-00144,S-003,Summit Sports,Northeast,P-SPG-04-01,Energy Gel Pack,Nutrition,24,20.91,501.84,2024-03-24,REP-S-003-01
SPG-00145,S-017,Redwood Athletics,West,P-SPG-01-03,Running Short,Apparel,5,94.76,473.8,2024-10-04,REP-S-017-03
SPG-00146,S-012,Prairie Athletics,Midwest,P-SPG-04-03,Recovery Bar,Nutrition,19,55.06,1046.14,2024-08-11,REP-S-012-03
SPG-00147,S-004,Harbor Run,Northeast,P-SPG-02-00,Carbon Bike,Equipment,6,366.06,2196.36,2024-07-14,REP-S-004-03
SPG-00148,S-011,Lakeside Sports,Midwest,P-SPG-00-01,Court Ace,Footwear,12,104.32,1251.84,2024-05-25,REP-S-011-04
SPG-00149,S-018,Canyon Sports,West,P-SPG-01-00,Compression Tee,Apparel,15,149.48,2242.2,2024-12-03,REP-S-018-04
SPG-00150,S-019,Coastal Outfitters,West,P-SPG-04-03,Recovery Bar,Nutrition,35,33.68,1178.8,2024-12-18,REP-S-019-03
SPG-00151,S-020,Mountain Peak Gear,West,P-SPG-02-03,Weight Set Pro,Equipment,13,275.13,3576.69,2024-12-14,REP-S-020-02
SPG-00152,S-017,Redwood Athletics,West,P-SPG-00-03,Sprint Elite,Footwear,14,202.56,2835.84,2024-08-11,REP-S-017-04
SPG-00153,S-019,Coastal Outfitters,West,P-SPG-00-01,Court Ace,Footwear,47,74.94,3522.18,2024-11-20,REP-S-019-02
SPG-00154,S-019,Coastal Outfitters,West,P-SPG-01-01,Rain Shell,Apparel,28,146.17,4092.76,2024-05-25,REP-S-019-01
SPG-00155,S-010,Delta Outfitters,Southeast,P-SPG-01-02,Fleece Vest,Apparel,12,83.36,1000.32,2024-12-25,REP-S-010-04
SPG-00156,S-001,Alpine Outfitters,Northeast,P-SPG-01-01,Rain Shell,Apparel,6,68.21,409.26,2024-11-13,REP-S-001-01
SPG-00157,S-006,Bayou Fitness,Southeast,P-SPG-01-01,Rain Shell,Apparel,11,34.43,378.73,2024-02-20,REP-S-006-02
SPG-00158,S-005,Evergreen Athletics,Northeast,P-SPG-04-02,Electrolyte Mix,Nutrition,1,33.87,33.87,2024-02-14,REP-S-005-03
SPG-00159,S-004,Harbor Run,Northeast,P-SPG-03-08,Jump Rope,Accessories,13,57.41,746.33,2024-02-23,REP-S-004-04
SPG-00160,S-013,Heartland Fitness,Midwest,P-SPG-03-03,Resistance Bands,Accessories,4,34.07,136.28,2024-02-15,REP-S-013-03
SPG-00161,S-005,Evergreen Athletics,Northeast,P-SPG-03-05,Grip Tape,Accessories,10,66.48,664.8,2024-11-28,REP-S-005-04
SPG-00162,S-020,Mountain Peak Gear,West,P-SPG-03-08,Jump Rope,Accessories,3,31.02,93.06,2024-01-09,REP-S-020-01
SPG-00163,S-008,Palmetto Sports,Southeast,P-SPG-04-01,Energy Gel Pack,Nutrition,6,28.46,170.76,2024-11-11,REP-S-008-03
SPG-00164,S-017,Redwood Athletics,West,P-SPG-00-04,Cross Train V2,Footwear,20,197.85,3957.0,2024-07-29,REP-S-017-01
SPG-00165,S-008,Palmetto Sports,Southeast,P-SPG-01-03,Running Short,Apparel,5,27.08,135.4,2024-02-23,REP-S-008-03
SPG-00166,S-014,River Trail Gear,Midwest,P-SPG-00-02,Hiker Pro,Footwear,13,177.35,2305.55,2024-09-11,REP-S-014-04
SPG-00167,S-005,Evergreen Athletics,Northeast,P-SPG-02-02,Treadmill T500,Equipment,13,556.45,7233.85,2024-11-15,REP-S-005-04
SPG-00168,S-002,Trailhead NE,Northeast,P-SPG-02-03,Weight Set Pro,Equipment,6,172.66,1035.96,2024-10-05,REP-S-002-01
SPG-00169,S-015,Crossroads Sports,Midwest,P-SPG-00-02,Hiker Pro,Footwear,4,177.73,710.92,2024-02-21,REP-S-015-04
SPG-00170,S-001,Alpine Outfitters,Northeast,P-SPG-01-02,Fleece Vest,Apparel,5,111.95,559.75,2024-11-20,REP-S-001-04
SPG-00171,S-015,Crossroads Sports,Midwest,P-SPG-00-03,Sprint Elite,Footwear,13,128.72,1673.36,2024-08-15,REP-S-015-01
SPG-00172,S-010,Delta Outfitters,Southeast,P-SPG-03-04,Sport Towel,Accessories,3,50.27,150.81,2024-09-14,REP-S-010-04
SPG-00173,S-017,Redwood Athletics,West,P-SPG-02-03,Weight Set Pro,Equipment,11,683.13,7514.43,2024-10-24,REP-S-017-03
SPG-00174,S-004,Harbor Run,Northeast,P-SPG-01-03,Running Short,Apparel,18,141.54,2547.72,2024-01-17,REP-S-004-01
SPG-00175,S-005,Evergreen Athletics,Northeast,P-SPG-00-02,Hiker Pro,Footwear,19,94.15,1788.85,2024-12-07,REP-S-005-04
SPG-00176,S-014,River Trail Gear,Midwest,P-SPG-00-03,Sprint Elite,Footwear,10,48.37,483.7,2024-05-28,REP-S-014-04
SPG-00177,S-015,Crossroads Sports,Midwest,P-SPG-02-00,Carbon Bike,Equipment,20,564.79,11295.8,2024-08-03,REP-S-015-03
SPG-00178,S-014,River Trail Gear,Midwest,P-SPG-02-02,Treadmill T500,Equipment,1,457.06,457.06,2024-04-18,REP-S-014-02
SPG-00179,S-010,Delta Outfitters,Southeast,P-SPG-02-03,Weight Set Pro,Equipment,1,385.08,385.08,2024-04-24,REP-S-010-03
SPG-00180,S-002,Trailhead NE,Northeast,P-SPG-04-00,Whey Protein,Nutrition,12,46.6,559.2,2024-08-20,REP-S-002-04
SPG-00181,S-008,Palmetto Sports,Southeast,P-SPG-01-00,Compression Tee,Apparel,14,35.13,491.82,2024-10-09,REP-S-008-02
SPG-00182,S-016,Pacific Surf & Sport,West,P-SPG-03-04,Sport Towel,Accessories,12,77.89,934.68,2024-07-14,REP-S-016-02
SPG-00183,S-017,Redwood Athletics,West,P-SPG-04-03,Recovery Bar,Nutrition,2,13.83,27.66,2024-02-28,REP-S-017-03
SPG-00184,S-002,Trailhead NE,Northeast,P-SPG-01-04,Base Layer,Apparel,4,81.11,324.44,2024-04-10,REP-S-002-01
SPG-00185,S-011,Lakeside Sports,Midwest,P-SPG-02-03,Weight Set Pro,Equipment,13,66.79,868.27,2024-08-28,REP-S-011-03
SPG-00186,S-003,Summit Sports,Northeast,P-SPG-03-01,Fitness Band,Accessories,24,47.82,1147.68,2024-03-04,REP-S-003-02
SPG-00187,S-002,Trailhead NE,Northeast,P-SPG-02-04,Climbing Pack,Equipment,16,211.41,3382.56,2024-06-28,REP-S-002-04
